"group_name","type"
"Chăm Sóc Body / Body Care / Massage / Sauna","1"
"Chăm Sóc Da / Facial Care","1"
"Dịch vụ nổi bật - Hiện trên app","1"
"Phun Xăm Thẩm Mỹ / Microblading / Shading","1"
"Triệt Lông / Laser Hair Removal","1"
"Adema","2"
"Ample:N","2"
"Badescu Drying Lotion","2"
"Cell Fusion","2"
"Chacott","2"
"CNP Laboratory","2"
"D'Abla","2"
"Dermafirm","2"
"Dr.G","2"
"Eucerin","2"
"Geek & Gorgeous","2"
"Klavuu","2"
"Mask","2"
"Mộc nhan","2"
"Murad","2"
"Mutoface","2"
"Mỹ phẩm","2"
"Neutrogena","2"
"Paul Medison","2"
"Paula Choise","2"
"PX - KIm ngòi","2"
"PX - Mực","2"
"PX - Tê","2"
"PX - Vật tư","2"
"SVA","2"
"The Inkey List","2"
"The Ordinary","2"
"Vật tư","2"
"WELLDERMA","2"
